"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"06.03.2023","113,81","111,99","113,84","111,87","14,35M","0,89%"
"03.03.2023","112,81","110,05","113,37","109,95","13,01M","1,27%"
"02.03.2023","111,40","110,61","111,69","110,17","10,34M","0,46%"
"01.03.2023","110,89","109,31","111,86","109,24","13,20M","0,89%"
"28.02.2023","109,91","111,24","111,36","109,22","18,11M","-0,58%"
"27.02.2023","110,55","110,80","111,26","109,96","11,71M","-0,18%"
"24.02.2023","110,75","109,33","110,96","109,02","14,35M","0,01%"
"23.02.2023","110,74","110,73","111,83","109,90","11,29M","0,92%"
"22.02.2023","109,73","110,48","110,97","108,64","13,97M","-1,30%"
"21.02.2023","111,17","110,81","112,38","110,81","14,47M","-0,10%"
"17.02.2023","111,28","114,19","114,19","110,98","20,76M","-3,85%"
"16.02.2023","115,73","115,31","116,78","114,80","11,36M","-0,29%"
"15.02.2023","116,07","115,72","116,09","114,14","13,67M","-0,30%"
"14.02.2023","116,42","117,01","117,81","116,02","12,08M","-1,17%"
"13.02.2023","117,80","117,72","118,18","115,90","14,54M","-1,15%"
"10.02.2023","119,17","116,51","119,63","116,16","24,92M","4,22%"
"09.02.2023","114,35","114,62","116,24","114,18","17,44M","0,38%"
"08.02.2023","113,92","115,05","115,83","113,85","18,46M","-0,87%"
"07.02.2023","114,92","112,39","115,31","112,02","16,01M","2,86%"
"06.02.2023","111,73","112,36","113,09","110,32","13,86M","-0,17%"
"03.02.2023","111,92","111,90","114,11","111,56","20,23M","0,69%"
"02.02.2023","111,15","114,85","115,07","109,83","24,56M","-3,13%"
"01.02.2023","114,74","115,83","117,38","113,34","19,46M","-1,09%"
"31.01.2023","116,01","112,10","116,40","110,43","27,86M","2,16%"
"30.01.2023","113,56","115,09","115,49","113,15","18,67M","-1,77%"
"27.01.2023","115,61","116,95","117,67","115,39","15,18M","-1,83%"
"26.01.2023","117,76","114,72","117,78","114,33","21,02M","4,02%"
"25.01.2023","113,21","113,23","113,65","111,39","11,91M","-0,53%"
"24.01.2023","113,81","109,16","114,02","104,87","13,58M","0,93%"
"23.01.2023","112,76","113,64","114,59","112,64","16,58M","-0,52%"
"20.01.2023","113,35","111,36","113,44","110,61","16,52M","1,82%"
"19.01.2023","111,32","110,07","112,13","109,58","12,93M","0,64%"
"18.01.2023","110,61","113,26","114,12","110,40","16,40M","-2,05%"
"17.01.2023","112,93","113,41","114,08","112,67","16,54M","-0,19%"
"13.01.2023","113,15","113,11","113,49","112,16","12,01M","-0,06%"
"12.01.2023","113,22","111,82","113,74","111,74","15,36M","1,66%"
"11.01.2023","111,37","110,99","111,45","109,08","16,71M","1,16%"
"10.01.2023","110,09","109,79","110,33","108,00","15,10M","1,49%"
"09.01.2023","108,47","111,64","111,64","107,81","17,96M","-1,86%"
"06.01.2023","110,53","110,08","111,99","109,67","16,35M","1,21%"
"05.01.2023","109,21","106,34","109,95","106,31","15,95M","2,24%"
"04.01.2023","106,82","104,80","107,15","104,76","18,06M","0,29%"
"03.01.2023","106,51","109,78","110,02","105,49","15,15M","-3,44%"
"30.12.2022","110,30","108,61","110,50","108,61","11,80M","1,01%"
"29.12.2022","109,20","107,99","109,72","107,99","10,53M","0,76%"
"28.12.2022","108,38","109,91","110,00","107,90","10,70M","-1,64%"
"27.12.2022","110,19","109,27","110,46","108,83","11,96M","1,39%"
"23.12.2022","108,68","106,95","108,74","106,90","11,54M","2,64%"
"22.12.2022","105,88","107,89","108,19","104,10","13,22M","-2,02%"
"21.12.2022","108,06","108,29","108,58","107,16","13,57M","1,28%"
"20.12.2022","106,69","105,17","107,51","105,07","14,68M","1,45%"
"19.12.2022","105,17","105,26","106,20","104,38","13,61M","0,45%"
"16.12.2022","104,70","103,69","105,58","103,13","54,60M","-0,70%"
"15.12.2022","105,44","105,33","106,17","103,70","15,37M","-0,96%"
"14.12.2022","106,46","107,99","108,30","105,75","17,60M","-0,74%"
"13.12.2022","107,25","107,80","108,54","107,02","24,31M","1,09%"
"12.12.2022","106,09","103,83","106,24","103,58","20,41M","2,46%"
"09.12.2022","103,54","104,59","105,95","103,30","21,30M","-0,84%"
"08.12.2022","104,42","106,28","106,79","103,71","21,13M","0,74%"
"07.12.2022","103,65","103,78","104,85","102,37","20,06M","-0,22%"
"06.12.2022","103,88","105,90","107,04","103,14","21,20M","-2,78%"
"05.12.2022","106,85","110,70","111,36","105,94","19,29M","-2,74%"
"02.12.2022","109,86","109,51","111,71","109,20","15,25M","-0,85%"
"01.12.2022","110,80","111,64","112,07","110,18","14,40M","-0,48%"
"30.11.2022","111,34","111,54","111,90","109,78","23,16M","0,72%"
"29.11.2022","110,54","110,61","111,80","109,79","14,45M","0,66%"
"28.11.2022","109,81","110,66","111,46","109,62","23,02M","-3,00%"
