"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"05.10.2022","93,37","91,89","93,96","90,76","296,20K","1,71%"
"04.10.2022","91,80","88,81","92,40","88,78","282,38K","3,31%"
"03.10.2022","88,86","86,35","89,82","86,35","270,69K","1,02%"
"30.09.2022","87,96","88,53","89,80","87,69","5,89K","-0,60%"
"29.09.2022","88,49","88,97","90,12","87,33","57,86K","-0,93%"
"28.09.2022","89,32","86,14","89,47","84,26","74,33K","5,24%"
"27.09.2022","84,87","82,84","85,84","82,81","252,52K","2,43%"
"26.09.2022","82,86","85,54","86,45","82,44","257,04K","-2,55%"
"23.09.2022","85,03","89,57","89,88","84,55","304,20K","-5,03%"
"22.09.2022","89,53","88,83","91,74","88,28","219,29K","0,82%"
"21.09.2022","88,80","89,57","92,23","88,31","247,64K","-0,67%"
"20.09.2022","89,40","90,85","91,57","88,56","209,16K","-2,83%"
"19.09.2022","92,00","91,43","92,57","88,50","138,53K","0,71%"
"16.09.2022","91,35","90,51","92,66","90,25","197,48K","0,56%"
"15.09.2022","90,84","94,65","94,66","90,03","257,62K","-3,46%"
"14.09.2022","94,10","93,40","95,80","91,93","259,90K","1,00%"
"13.09.2022","93,17","94,31","95,53","91,05","275,17K","-0,88%"
"12.09.2022","94,00","92,54","95,17","91,21","210,43K","1,25%"
"09.09.2022","92,84","88,62","93,12","88,60","202,94K","4,76%"
"08.09.2022","88,62","87,98","89,82","87,25","","0,70%"
"07.09.2022","88,00","92,81","93,80","87,40","300,20K","-5,20%"
"06.09.2022","92,83","95,19","95,94","92,30","225,95K","-3,04%"
"05.09.2022","95,74","93,02","96,99","93,02","144,26K","2,92%"
"02.09.2022","93,02","92,66","95,32","92,65","210,00K","0,71%"
"01.09.2022","92,36","95,18","95,68","91,81","297,55K","-4,28%"
"31.08.2022","96,49","99,79","100,46","95,44","10,07K","-1,38%"
"30.08.2022","97,84","102,88","103,48","96,63","356,10K","-4,95%"
"29.08.2022","102,93","98,96","103,22","98,25","211,63K","3,96%"
"26.08.2022","99,01","98,95","100,10","96,96","277,48K","0,56%"
"25.08.2022","98,46","100,79","101,53","98,23","223,98K","-1,87%"
"24.08.2022","100,34","99,30","100,89","98,27","233,92K","1,18%"
"23.08.2022","99,17","96,00","99,41","95,81","198,99K","3,51%"
"22.08.2022","95,81","95,36","96,66","92,00","186,81K","-0,94%"
"19.08.2022","96,72","96,68","97,88","94,25","178,60K","0,13%"
"18.08.2022","96,59","93,29","97,42","93,05","208,55K","3,14%"
"17.08.2022","93,65","92,67","94,48","91,51","199,19K","1,42%"
"16.08.2022","92,34","94,01","95,95","91,71","217,75K","-2,90%"
"15.08.2022","95,10","97,72","98,17","92,78","217,57K","-3,11%"
"12.08.2022","98,15","99,33","100,38","96,94","188,13K","-1,46%"
"11.08.2022","99,60","97,04","100,17","96,63","219,42K","2,26%"
"10.08.2022","97,40","96,34","97,97","93,63","247,74K","1,13%"
"09.08.2022","96,31","96,36","98,40","94,90","219,67K","-0,35%"
"08.08.2022","96,65","94,51","96,82","93,01","201,25K","1,82%"
"05.08.2022","94,92","93,65","96,40","92,78","216,20K","0,85%"
"04.08.2022","94,12","97,10","97,66","93,20","264,81K","-2,75%"
"03.08.2022","96,78","99,73","102,41","96,50","293,11K","-3,74%"
"02.08.2022","100,54","99,87","102,41","98,49","229,68K","0,51%"
"01.08.2022","100,03","103,92","104,43","99,09","272,84K","-9,07%"
"29.07.2022","110,01","108,00","110,67","106,90","9,13K","2,68%"
"28.07.2022","107,14","107,31","109,06","106,00","80,84K","0,49%"
"27.07.2022","106,62","104,75","107,86","103,73","77,69K","2,13%"
"26.07.2022","104,40","104,73","107,34","103,99","110,00K","-0,71%"
"25.07.2022","105,15","103,85","105,38","101,64","123,67K","1,89%"
"22.07.2022","103,20","103,86","105,72","101,90","137,24K","-0,64%"
"21.07.2022","103,86","106,49","106,78","101,50","228,70K","-2,86%"
"20.07.2022","106,92","107,07","107,45","105,08","186,70K","-0,40%"
"19.07.2022","107,35","105,74","107,61","103,60","226,40K","1,02%"
"18.07.2022","106,27","100,82","106,48","99,46","213,50K","5,05%"
"15.07.2022","101,16","99,91","102,64","98,17","218,09K","2,08%"
"14.07.2022","99,10","99,43","100,39","94,50","318,79K","-0,47%"
"13.07.2022","99,57","98,50","101,21","98,28","247,47K","0,08%"
"12.07.2022","99,49","106,25","106,56","98,90","275,62K","-7,11%"
"11.07.2022","107,10","107,00","107,70","103,64","194,66K","0,07%"
"08.07.2022","107,02","104,65","107,47","103,67","238,35K","2,26%"
"07.07.2022","104,65","100,14","106,35","98,50","279,66K","3,93%"
"06.07.2022","100,69","104,88","105,85","98,50","350,30K","-2,02%"
"05.07.2022","102,77","113,54","114,75","101,10","428,84K","-9,45%"
"04.07.2022","113,50","111,65","114,00","110,40","100,59K","1,68%"
"01.07.2022","111,63","109,49","112,45","108,03","235,42K","-2,77%"
"30.06.2022","114,81","116,01","116,67","114,22","7,11K","-1,25%"
"29.06.2022","116,26","117,96","120,41","115,20","54,34K","-1,46%"
"28.06.2022","117,98","115,74","118,27","115,72","65,76K","2,51%"
"27.06.2022","115,09","112,92","116,08","111,26","118,10K","1,74%"
"24.06.2022","113,12","110,04","114,00","109,24","134,18K","2,79%"
"23.06.2022","110,05","109,58","112,70","108,04","195,92K","-1,51%"
"22.06.2022","111,74","114,40","114,45","107,03","293,05K","-2,54%"
"21.06.2022","114,65","114,21","116,25","114,02","204,03K","0,46%"
"20.06.2022","114,13","113,88","114,50","111,52","161,60K","0,89%"
"17.06.2022","113,12","119,13","121,25","111,72","319,91K","-5,58%"
"16.06.2022","119,81","119,65","120,29","115,56","276,68K","1,10%"
"15.06.2022","118,51","120,79","121,88","117,75","231,06K","-2,20%"
"14.06.2022","121,17","121,88","125,19","118,91","291,26K","-0,90%"
"13.06.2022","122,27","121,94","123,70","118,93","257,11K","0,21%"
"10.06.2022","122,01","122,89","124,33","119,81","294,28K","-0,86%"
